,Player ID,Player Name,Total (Overall),Highest Paying Game,Total (Game),% of Total
58.0,cameram4n,Gabriel Hespanhol,"$67,407.88",Rainbow Six Siege,"$67,407.88",100.00%
59.0,Astro,Leonardo Buzzachera,"$67,307.88",Rainbow Six Siege,"$67,307.88",100.00%
60.0,Lasers,Pedro Kaique Souza Carvalho,"$66,525.00",Fortnite,"$66,525.00",100.00%
61.0,pfzin,Pedro Figueiredo S̩ de Freitas,"$65,775.00",Fortnite,"$65,775.00",100.00%
62.0,nak,Renato Nakano,"$63,781.96",Counter-Strike,"$36,979.04",57.98%
63.0,Fifilza,- -,"$63,250.00",FIFA 20,"$32,000.00",50.59%
64.0,bit,Bruno Lima,"$62,907.36",Counter-Strike,"$32,333.75",51.40%
65.0,Resende,Pedro Henrique Soares,"$62,750.00",FIFA 19,"$38,250.00",60.96%
66.0,Hydration,Jọo Pedro Telles,"$61,460.24",Overwatch,"$61,460.24",100.00%
67.0,GusTavox8,Gustavo Lossio,"$58,600.00",Fortnite,"$58,600.00",100.00%
68.0,NEKiZ,Gabriel Schenato,"$57,996.21",Counter-Strike: Global Offensive,"$57,996.21",100.00%
69.0,Frosty,- -,"$56,725.00",Fortnite,"$56,725.00",100.00%
70.0,Bullet1,Jos̩ Victor,"$56,511.89",Rainbow Six Siege,"$56,511.89",100.00%
71.0,yoona,Jọo Gabriel,"$54,490.22",Rainbow Six Siege,"$54,490.22",100.00%
72.0,Carlos Roṃo,Carlos Roṃo,"$53,600.00",Magic: The Gathering Arena,"$28,600.00",53.36%
73.0,PKL,Vinicios Coelho,"$53,585.66",Counter-Strike: Global Offensive,"$53,585.66",100.00%
74.0,brTT,Felipe Gon̤alves,"$53,367.38",League of Legends,"$52,967.38",99.25%
75.0,trk,Alencar Rossato,"$51,886.30",Counter-Strike: Global Offensive,"$51,886.30",100.00%
76.0,pANcada,Bryan Luna,"$49,592.39",CrossFire,"$48,442.39",97.68%
77.0,ziG,Leo Duarte,"$49,198.06",Rainbow Six Siege,"$48,748.06",99.09%
78.0,Cyb3r,Jaime Ramos,"$48,610.93",Rainbow Six Siege,"$48,610.93",100.00%
79.0,Novys,Daniel Novy,"$48,610.93",Rainbow Six Siege,"$48,610.93",100.00%
80.0,Thiolicor,Thiago Cordeiro,"$45,776.87",Dota 2,"$45,776.87",100.00%
81.0,zews,Wilton Prado,"$44,677.73",Counter-Strike: Global Offensive,"$44,400.35",99.38%
82.0,King,Bryan Eric Nunes,"$44,450.00",Fortnite,"$44,450.00",100.00%
83.0,cogu,Raphael Camargo,"$43,425.94",Counter-Strike,"$38,296.50",88.19%
84.0,BlackoutZ,Patrick Garcia da Silva,"$42,888.80",Fortnite,"$42,888.80",100.00%
85.0,Master,Gabriel Marques,"$42,850.00",Fortnite,"$42,850.00",100.00%
86.0,c4t,Emiliano Ito,"$42,158.04",Dota 2,"$42,158.04",100.00%
87.0,mch,Jean-Michel D'Oliveira,"$42,066.80",Counter-Strike: Global Offensive,"$39,286.86",93.39%
88.0,Fixa,Carlos C̩sar -,"$41,719.19",Free Fire,"$41,719.19",100.00%
89.0,Level Up 007,Samuel Lima,"$41,719.19",Free Fire,"$41,719.19",100.00%
90.0,Pires,- -,"$41,719.19",Free Fire,"$41,719.19",100.00%
91.0,chelo,Marcelo Cespedes,"$41,461.24",Counter-Strike: Global Offensive,"$41,461.24",100.00%
92.0,Vini,- -,"$41,200.00",FIFA 19,"$23,700.00",57.52%
93.0,Nobru,Bruno -,"$40,875.00",Free Fire,"$40,875.00",100.00%
94.0,Japa,Genildo Andr̩ -,"$40,844.19",Free Fire,"$40,844.19",100.00%
95.0,MKing,Lucca Coser,"$40,301.89",Rainbow Six Siege,"$40,301.89",100.00%
96.0,Goken,- -,"$40,000.00",CrossFire,"$40,000.00",100.00%
97.0,Revolta,Gabriel Henud,"$39,983.40",League of Legends,"$39,983.40",100.00%
98.0,iDk,Victor Torraca,"$39,265.43",Counter-Strike: Global Offensive,"$39,265.43",100.00%
99.0,technoviking46,Gustavo Trevisan,"$39,200.00",Fortnite,"$39,200.00",100.00%
100.0,Maluk3,Pedro Campos,"$38,368.86",Counter-Strike: Global Offensive,"$37,177.02",96.89%
